"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.048681929E2,6.515444718E1,2.569050177E1,3.617053815E1,1.529999971E0,1.240000000E2,3.790092468E0,2.500000000E0
1.058674630E2,6.515444046E1,2.569052497E1,3.609558826E1,1.480000019E0,1.255000000E2,3.790092468E0,2.500000000E0
1.068673567E2,6.515443292E1,2.569055033E1,3.616162974E1,1.549999952E0,1.248000031E2,3.790092468E0,2.500000000E0
1.078672987E2,6.515442575E1,2.569057370E1,3.630048609E1,1.450000048E0,1.238000031E2,3.790092468E0,2.500000000E0
1.088681744E2,6.515441793E1,2.569059914E1,3.627747733E1,1.500000000E0,1.265000000E2,3.790092468E0,2.500000000E0
1.098681197E2,6.515441035E1,2.569062585E1,3.647681959E1,1.509999990E0,1.241999969E2,3.790092468E0,2.500000000E0
1.108679810E2,6.515440213E1,2.569065037E1,3.653504870E1,1.450000048E0,1.285000000E2,3.790092468E0,2.500000000E0
1.118677789E2,6.515439447E1,2.569067649E1,3.670161510E1,1.500000000E0,1.249000015E2,3.790092468E0,2.500000000E0
1.128672792E2,6.515438568E1,2.569069998E1,3.655079893E1,1.450000048E0,1.291999969E2,3.790092468E0,2.500000000E0
1.138677459E2,6.515437738E1,2.569072542E1,3.636738987E1,1.470000029E0,1.266999969E2,3.790092468E0,2.500000000E0
1.148674954E2,6.515436905E1,2.569075194E1,3.619508922E1,1.490000010E0,1.270000000E2,3.790092468E0,2.500000000E0
1.158682362E2,6.515436102E1,2.569077911E1,3.606874797E1,1.509999990E0,1.275999985E2,3.790092468E0,2.500000000E0
1.168680000E2,6.515435354E1,2.569080478E1,3.590279480E1,1.419999957E0,1.280000000E2,3.790092468E0,2.500000000E0
1.178679275E2,6.515434587E1,2.569083310E1,3.571840905E1,1.509999990E0,1.264000015E2,3.790092468E0,2.500000000E0
1.188678494E2,6.515433821E1,2.569085810E1,3.553133775E1,1.429999948E0,1.266999969E2,3.790092468E0,2.500000000E0
1.198675557E2,6.515432968E1,2.569088160E1,3.529702543E1,1.460000038E0,1.290000000E2,3.790092468E0,2.500000000E0
1.208673455E2,6.515432032E1,2.569090416E1,3.520101894E1,1.460000038E0,1.313999939E2,3.790092468E0,2.500000000E0
1.218682016E2,6.515431173E1,2.569092785E1,3.504782235E1,1.460000038E0,1.265000000E2,3.790092468E0,2.500000000E0
1.228681190E2,6.515430274E1,2.569095091E1,3.506387633E1,1.470000029E0,1.303000031E2,3.790092468E0,2.500000000E0
1.238679802E2,6.515429364E1,2.569097449E1,3.489792350E1,1.460000038E0,1.303000031E2,3.790092468E0,2.500000000E0
1.248678474E2,6.515428456E1,2.569099816E1,3.470529830E1,1.470000029E0,1.300000000E2,3.790092468E0,2.500000000E0
1.258677530E2,6.515427532E1,2.569102214E1,3.485807107E1,1.480000019E0,1.313999939E2,3.790092468E0,2.500000000E0
1.268675586E2,6.515426677E1,2.569104602E1,3.479465719E1,1.500000000E0,1.315000000E2,3.790092468E0,2.500000000E0
1.278679698E2,6.515425952E1,2.569106994E1,3.463126745E1,1.509999990E0,1.263000031E2,3.790092468E0,2.500000000E0
1.288677331E2,6.515425050E1,2.569109188E1,3.443711637E1,1.509999990E0,1.348000031E2,3.790092468E0,2.500000000E0
1.298675630E2,6.515424084E1,2.569111451E1,3.466191072E1,1.549999952E0,1.355000000E2,3.790092468E0,2.500000000E0
1.308681129E2,6.515422765E1,2.569114861E1,3.396873699E1,2.160000086E0,1.326999969E2,3.790092468E0,2.500000000E0
1.318679923E2,6.515421092E1,2.569118656E1,3.310564209E1,2.480000019E0,1.356000061E2,3.790092468E0,2.500000000E0
1.328679018E2,6.515419413E1,2.569122530E1,3.263341633E1,2.430000067E0,1.343000031E2,3.790092468E0,2.500000000E0
1.338678449E2,6.515417687E1,2.569126495E1,3.176928393E1,2.500000000E0,1.358999939E2,3.790092468E0,2.500000000E0
1.348676792E2,6.515415868E1,2.569130343E1,3.126129186E1,2.569999933E0,1.356000061E2,3.790092468E0,2.500000000E0
1.358675629E2,6.515413855E1,2.569134122E1,3.026202821E1,2.619999886E0,1.411999969E2,3.790092468E0,2.500000000E0
1.368674366E2,6.515411903E1,2.569138157E1,3.015943191E1,2.630000114E0,1.356999969E2,3.790092468E0,2.500000000E0
1.378673291E2,6.515409996E1,2.569142138E1,2.973884235E1,2.640000105E0,1.371999969E2,3.790092468E0,2.500000000E0
1.388681972E2,6.515408151E1,2.569146256E1,2.983192453E1,2.660000086E0,1.353000031E2,3.790092468E0,2.500000000E0
1.398679953E2,6.515406287E1,2.569150563E1,3.047914493E1,2.650000095E0,1.355000000E2,3.790092468E0,2.500000000E0
1.408679646E2,6.515404383E1,2.569155868E1,3.089461488E1,2.740000010E0,1.281999969E2,3.790092468E0,2.500000000E0
1.418678622E2,6.515402216E1,2.569160852E1,3.116708000E1,2.690000057E0,1.321999969E2,3.790092468E0,2.500000000E0
1.428678200E2,6.515399930E1,2.569165748E1,3.115945503E1,2.710000038E0,1.371000061E2,3.790092468E0,2.500000000E0
1.438676716E2,6.515397284E1,2.569169787E1,3.095023170E1,2.769999981E0,1.436999969E2,3.790092468E0,2.500000000E0
1.448675017E2,6.515395063E1,2.569174737E1,3.087687173E1,2.759999990E0,1.333999939E2,3.790092468E0,2.500000000E0
1.458674030E2,6.515392581E1,2.569179339E1,3.096672031E1,2.759999990E0,1.416000061E2,3.790092468E0,2.500000000E0
1.468672643E2,6.515390287E1,2.569183696E1,3.081883659E1,2.660000086E0,1.393999939E2,3.790092468E0,2.500000000E0
1.478680816E2,6.515387956E1,2.569187865E1,3.060833087E1,2.640000105E0,1.408000031E2,3.790092468E0,2.500000000E0
1.488677382E2,6.515385585E1,2.569192104E1,3.071789359E1,2.660000086E0,1.421000061E2,3.790092468E0,2.500000000E0
1.498681044E2,6.515383173E1,2.569196501E1,2.987018099E1,2.710000038E0,1.386999969E2,3.790092468E0,2.500000000E0
1.508679761E2,6.515380654E1,2.569200593E1,3.034473425E1,2.730000019E0,1.451999969E2,3.790092468E0,2.500000000E0
