"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.828708824E0,2.452707291E-2,-3.265666962E-2,6.429767609E-2
1.833708824E0,1.065087318E-2,-3.769254684E-2,4.669284821E-2
1.838708824E0,8.652687073E-3,-1.717948914E-2,3.798103333E-2
1.843708824E0,2.175119519E-2,-2.749156952E-2,4.174137115E-2
1.848708824E0,3.849706054E-2,-2.683544159E-2,4.388141632E-2
1.853708824E0,8.925750852E-2,-3.523635864E-2,3.339767456E-2
1.858708824E0,1.427804530E-1,-5.813694000E-2,7.642745972E-3
1.863708824E0,1.319600940E-1,-5.818986893E-2,-4.303836823E-2
1.868708824E0,1.160228550E-1,-4.569292068E-2,-5.958461761E-2
1.873708824E0,1.203379929E-1,-5.628490448E-2,-6.220817566E-2
1.878708824E0,1.306315064E-1,-4.338216782E-2,-4.454040527E-2
1.883708824E0,1.679178476E-1,-2.959680557E-2,-1.395893097E-2
1.888708824E0,2.082625329E-1,-1.866722107E-2,-9.053230286E-3
1.893708824E0,2.321223766E-1,-2.040195465E-2,-3.529930115E-2
1.898708824E0,2.334723473E-1,-3.561878204E-2,-6.936550140E-2
1.903708824E0,2.185116708E-1,-4.727506638E-2,-1.411013603E-1
1.908708824E0,1.709081233E-1,-5.991125107E-2,-1.689872742E-1
1.913708824E0,4.906782508E-2,-4.796648026E-2,-1.556997299E-1
1.918708824E0,-1.223038733E-1,-1.057243347E-2,-8.394336700E-2
1.923708824E0,-2.516350150E-1,-5.088806152E-3,-1.074600220E-2
